column,corp_na_count,corp_num_rows,pct_corp_missing,pct_corp_w_data
CLIP,0,36319,0,100
FIPS.CODE,0,36319,0,100
APN.(PARCEL.NUMBER.UNFORMATTED),0,36319,0,100
APN.SEQUENCE.NUMBER,0,36319,0,100
COMPOSITE.PROPERTY.LINKAGE.KEY,0,36319,0,100
ORIGINAL.APN,0,36319,0,100
ONLINE.FORMATTED.PARCEL.ID,0,36319,0,100
SITUS.STATE,0,36319,0,100
SITUS.COUNTY,0,36319,0,100
OWNER.1.FULL.NAME,1,36319,0,100
OWNER.1.CORPORATE.INDICATOR,0,36319,0,100
CALCULATED.VALUE.SOURCE.INDICATOR,0,36319,0,100
ASSESSED.YEAR,0,36319,0,100
LAST.ASSESSOR.UPDATE.DATE,0,36319,0,100
TAXROLL.CERTIFICATION.DATE,0,36319,0,100
SITUS.CORE.BASED.STATISTICAL.AREA.(CBSA),5,36319,0.01,99.99
LAND.USE.CODE,19,36319,0.05,99.95
PROPERTY.INDICATOR.CODE,19,36319,0.05,99.95
COUNTY.USE.DESCRIPTION,26,36319,0.07,99.93
TAX.RATE.AREA.CODE,52,36319,0.14,99.86
TAX.AREA.CODE,52,36319,0.14,99.86
MAILING.CITY,65,36319,0.18,99.82
MAILING.STATE,64,36319,0.18,99.82
MAILING.ZIP.CODE,66,36319,0.18,99.82
MAILING.STREET.ADDRESS,422,36319,1.16,98.84
MAILING.STREET.NAME,535,36319,1.47,98.53
MAILING.CARRIER.ROUTE,1474,36319,4.06,95.94
MAILING.DELIVERY.POINT.VALIDATION.CODE,1481,36319,4.08,95.92
CENSUS.ID,1715,36319,4.72,95.28
SCHOOL.DISTRICT,1919,36319,5.28,94.72
MAILING.DELIVERY.POINT.VALIDATION.VACANT.INDICATOR,2452,36319,6.75,93.25
ACRES,2677,36319,7.37,92.63
LAND.SQUARE.FOOTAGE,2676,36319,7.37,92.63
PARCEL.LEVEL.LATITUDE,3224,36319,8.88,91.12
PARCEL.LEVEL.LONGITUDE,3224,36319,8.88,91.12
MAILING.HOUSE.NUMBER,8530,36319,23.49,76.51
TAX.AMOUNT,8767,36319,24.14,75.86
TAX.YEAR,8767,36319,24.14,75.86
MAILING.MODE,10072,36319,27.73,72.27
TOTAL.VALUE.CALCULATED,10622,36319,29.25,70.75
ASSESSED.TOTAL.VALUE,10622,36319,29.25,70.75
LAND.VALUE.CALCULATED,10757,36319,29.62,70.38
ASSESSED.LAND.VALUE,10757,36319,29.62,70.38
LEGAL.DESCRIPTION,11420,36319,31.44,68.56
NET.TAXABLE.AMOUNT,12455,36319,34.29,65.71
SITUS.CITY,13696,36319,37.71,62.29
SITUS.STREET.NAME,13846,36319,38.12,61.88
SITUS.STREET.ADDRESS,13846,36319,38.12,61.88
