columns,na_count,num_rows,pct_missing,pct_w_data
PROPERTY.INDICATOR.CODE,0,206391,0,100
LAND.USE.CODE,0,206391,0,100
CLIP,0,206391,0,100
FIPS.CODE,0,206391,0,100
APN.(PARCEL.NUMBER.UNFORMATTED),0,206391,0,100
APN.SEQUENCE.NUMBER,0,206391,0,100
COMPOSITE.PROPERTY.LINKAGE.KEY,0,206391,0,100
ORIGINAL.APN,9,206391,0,100
ONLINE.FORMATTED.PARCEL.ID,0,206391,0,100
COUNTY.USE.DESCRIPTION,5,206391,0,100
SITUS.STATE,9,206391,0,100
SITUS.COUNTY,0,206391,0,100
OWNER.1.FULL.NAME,2,206391,0,100
CALCULATED.VALUE.SOURCE.INDICATOR,0,206391,0,100
ASSESSED.YEAR,0,206391,0,100
LAST.ASSESSOR.UPDATE.DATE,0,206391,0,100
TAXROLL.CERTIFICATION.DATE,0,206391,0,100
luse_desc,0,206391,0,100
prop_desc,0,206391,0,100
MAILING.STREET.ADDRESS,30,206391,0.01,99.99
SITUS.CORE.BASED.STATISTICAL.AREA.(CBSA),32,206391,0.02,99.98
MAILING.STREET.NAME,110,206391,0.05,99.95
MAILING.CITY,94,206391,0.05,99.95
MAILING.STATE,94,206391,0.05,99.95
MAILING.ZIP.CODE,95,206391,0.05,99.95
TAX.RATE.AREA.CODE,680,206391,0.33,99.67
TAX.AREA.CODE,680,206391,0.33,99.67
CENSUS.ID,737,206391,0.36,99.64
MAILING.CARRIER.ROUTE,1741,206391,0.84,99.16
MAILING.DELIVERY.POINT.VALIDATION.CODE,1741,206391,0.84,99.16
NET.TAXABLE.AMOUNT,1740,206391,0.84,99.16
TOTAL.VALUE.CALCULATED,2604,206391,1.26,98.74
ASSESSED.TOTAL.VALUE,2604,206391,1.26,98.74
MAILING.DELIVERY.POINT.VALIDATION.VACANT.INDICATOR,5583,206391,2.71,97.29
LAND.VALUE.CALCULATED,5786,206391,2.8,97.2
ASSESSED.LAND.VALUE,5786,206391,2.8,97.2
SCHOOL.DISTRICT,6051,206391,2.93,97.07
IMPROVEMENT.VALUE.CALCULATED,9673,206391,4.69,95.31
ASSESSED.IMPROVEMENT.VALUE,9673,206391,4.69,95.31
TAX.AMOUNT,9751,206391,4.72,95.28
TAX.YEAR,9751,206391,4.72,95.28
SITUS.CITY,10636,206391,5.15,94.85
