WKT,name
"POLYGON ((-121.400816 36.760587,-121.400893 36.760647,-121.401038 36.760526,-121.400961 36.760467,-121.400816 36.760587))",San Benito
"POLYGON ((-121.385992 36.749312,-121.385913 36.749378,-121.386214 36.74961,-121.386293 36.749543,-121.385992 36.749312))",San Benito
"POLYGON ((-121.383016 36.750167,-121.383916 36.750858,-121.384901 36.750035,-121.384001 36.749344,-121.383016 36.750167))",San Benito
"POLYGON ((-121.399726 36.759765,-121.399621 36.759903,-121.399714 36.759949,-121.399714 36.759949,-121.399785 36.759983,-121.399832 36.759922,-121.399753 36.759883,-121.399811 36.759807,-121.399726 36.759765))",San Benito
"POLYGON ((-121.422159 36.770995,-121.422055 36.770934,-121.422002 36.77099,-121.422106 36.771052,-121.422159 36.770995))",San Benito
"POLYGON ((-121.393009 36.745698,-121.393009 36.745786,-121.393105 36.745786,-121.393105 36.745698,-121.393009 36.745698))",San Benito
"POLYGON ((-121.385641 36.748863,-121.386041 36.749223,-121.386349 36.749003,-121.385949 36.748643,-121.385641 36.748863))",San Benito
"POLYGON ((-121.398928 36.716598,-121.398928 36.716692,-121.399038 36.716692,-121.399038 36.716598,-121.398928 36.716598))",San Benito
"POLYGON ((-121.390389 36.731746,-121.390387 36.731627,-121.389341 36.731638,-121.389343 36.731756,-121.390389 36.731746))",San Benito
"POLYGON ((-121.397134 36.732846,-121.397069 36.732696,-121.397042 36.732703,-121.397025 36.732663,-121.396963 36.73268,-121.396988 36.73274,-121.39689 36.732767,-121.396947 36.732898,-121.397134 36.732846))",San Benito
"POLYGON ((-121.41251 36.770047,-121.41236 36.770004,-121.412307 36.770122,-121.412457 36.770165,-121.41251 36.770047))",San Benito
"POLYGON ((-121.412729 36.770058,-121.412627 36.770039,-121.412586 36.770181,-121.412688 36.7702,-121.412729 36.770058))",San Benito
"POLYGON ((-121.400712 36.759881,-121.400618 36.759837,-121.400518 36.759976,-121.400612 36.76002,-121.400712 36.759881))",San Benito
"POLYGON ((-121.397091 36.731525,-121.398158 36.730489,-121.39802 36.730398,-121.396908 36.731479,-121.397059 36.73158,-121.397106 36.731535,-121.397091 36.731525))",San Benito
"POLYGON ((-121.412665 36.770271,-121.41272 36.770283,-121.412737 36.770233,-121.412682 36.770221,-121.412665 36.770271))",San Benito
"POLYGON ((-121.394433 36.73496,-121.394485 36.735023,-121.394653 36.734933,-121.3946 36.73487,-121.394433 36.73496))",San Benito
"POLYGON ((-121.399873 36.760037,-121.39995 36.760075,-121.400048 36.75995,-121.399971 36.759912,-121.399873 36.760037))",San Benito
"POLYGON ((-121.397577 36.758001,-121.397537 36.757934,-121.397408 36.757983,-121.397448 36.75805,-121.397577 36.758001))",San Benito
"POLYGON ((-121.388649 36.749302,-121.388564 36.749313,-121.388578 36.749381,-121.388663 36.74937,-121.388649 36.749302))",San Benito
"POLYGON ((-121.393061 36.731297,-121.393063 36.731419,-121.394104 36.731409,-121.394102 36.731287,-121.393061 36.731297))",San Benito
"POLYGON ((-121.388847 36.732047,-121.388845 36.731928,-121.387804 36.731936,-121.387805 36.732055,-121.388847 36.732047))",San Benito
"POLYGON ((-121.398995 36.728853,-121.39793 36.729888,-121.398068 36.729978,-121.399176 36.728901,-121.399029 36.728804,-121.398985 36.728847,-121.398995 36.728853))",San Benito
"POLYGON ((-121.383669 36.751273,-121.38357 36.751273,-121.38357 36.751363,-121.383672 36.751363,-121.383672 36.751279,-121.383728 36.751279,-121.383728 36.751214,-121.383669 36.751214,-121.383669 36.751273))",San Benito
"POLYGON ((-121.396315 36.730994,-121.397378 36.72995,-121.39724 36.72986,-121.396132 36.730947,-121.396279 36.731043,-121.396323 36.730999,-121.396315 36.730994))",San Benito
